

txt=block, round, feature_0, feature_1, feature_2, rt, Error, MaxTrialTime, fixationTime, Condition, recommended, selected
0, 16, 45 minutes, $27.95, Drink OR Garlic Bread, 2749, null, 40000, 1672.4125920820395, 2, 0, 0;
0, 16, 15 minutes, $27.95, Drink OR Garlic Bread, 2749, null, 40000, 1672.4125920820395, 2, 0, 1;

0, 17, 30 minutes, $27.95, Drink AND Garlic Bread, 4669, null, 40000, 1330.3681527618678, 2, 0, 0;
0, 17, 45 minutes, $19.95, Drink AND Garlic Bread, 4669, null, 40000, 1330.3681527618678, 2, 0, 1;
0, 17, 30 minutes, $27.95, Drink OR Garlic Bread, 4669, null, 40000, 1330.3681527618678, 2, 0, 0;

0, 18, 15 minutes, $27.95, Drink AND Garlic Bread, 1654, null, 40000, 1019.9701677862183, 2, 0, 0;
0, 18, 30 minutes, $19.95, Drink AND Garlic Bread, 1654, null, 40000, 1019.9701677862183, 2, 0, 1;
0, 18, 30 minutes, $23.95, Drink OR Garlic Bread, 1654, null, 40000, 1019.9701677862183, 2, 0, 0;

0, 19, 15 minutes, $27.95, Drink OR Garlic Bread, 2458, null, 40000, 1654.637235235808, 1, 0, 1;
0, 19, 30 minutes, $27.95, Drink AND Garlic Bread, 2458, null, 40000, 1654.637235235808, 1, 0, 0;
0, 19, 30 minutes, $27.95, No sides, 2458, null, 40000, 1654.637235235808, 1, 0, 0;

0, 20, 45 minutes, $27.95, No sides, 2472, null, 40000, 1749.6331602244736, 1, 0, 0;
0, 20, 30 minutes, $27.95, No sides, 2472, null, 40000, 1749.6331602244736, 1, 0, 0;
0, 20, 15 minutes, $19.95, No sides, 2472, null, 40000, 1749.6331602244736, 1, 0, 1;

0, 21, 45 minutes, $19.95, Drink OR Garlic Bread, 2588, null, 40000, 1473.756729596087, 2, 0, 0;
0, 21, 30 minutes, $19.95, Drink OR Garlic Bread, 2588, null, 40000, 1473.756729596087, 2, 0, 1;
0, 21, 15 minutes, $27.95, No sides, 2588, null, 40000, 1473.756729596087, 2, 0, 0;

0, 22, 45 minutes, $27.95, Drink AND Garlic Bread, 2827, null, 40000, 1194.2464735550657, 2, 0, 0;
0, 22, 45 minutes, $23.95, No sides, 2827, null, 40000, 1194.2464735550657, 2, 0, 0;
0, 22, 15 minutes, $27.95, Drink OR Garlic Bread, 2827, null, 40000, 1194.2464735550657, 2, 0, 1;

0, 23, 45 minutes, $23.95, No sides, 1736, null, 40000, 2135.2750345572013, 1, 0, 0;
0, 23, 30 minutes, $23.95, No sides, 1736, null, 40000, 2135.2750345572013, 1, 0, 1;
0, 23, 45 minutes, $27.95, No sides, 1736, null, 40000, 2135.2750345572013, 1, 0, 0;

0, 24, 45 minutes, $23.95, Drink OR Garlic Bread, 1267, null, 40000, 2369.219415943481, 2, 0, 1;
0, 24, 45 minutes, $27.95, Drink OR Garlic Bread, 1267, null, 40000, 2369.219415943481, 2, 0, 0;
0, 24, 45 minutes, $27.95, Drink OR Garlic Bread, 1267, null, 40000, 2369.219415943481, 2, 0, 0;

1, 0, 30 minutes, $27.95, No sides, 1771, null, 40000, 1227.0737807062058, 1, 0, 0;
1, 0, 45 minutes, $19.95, Drink AND Garlic Bread, 1771, null, 40000, 1227.0737807062058, 1, 0, 1;
1, 0, 45 minutes, $23.95, Drink OR Garlic Bread, 1771, null, 40000, 1227.0737807062058, 1, 0, 0;

1, 1, 45 minutes, $19.95, No sides, 4072, null, 40000, 1478.2341777593049, 1, 0, 0;
1, 1, 45 minutes, $19.95, Drink AND Garlic Bread, 4072, null, 40000, 1478.2341777593049, 1, 0, 1;
1, 1, 45 minutes, $23.95, Drink OR Garlic Bread, 4072, null, 40000, 1478.2341777593049, 1, 0, 0;

1, 2, 15 minutes, $23.95, Drink OR Garlic Bread, 3750, null, 40000, 1229.1091741185005, 1, 0, 1;
1, 2, 45 minutes, $19.95, Drink OR Garlic Bread, 3750, null, 40000, 1229.1091741185005, 1, 0, 0;
1, 2, 30 minutes, $23.95, Drink AND Garlic Bread, 3750, null, 40000, 1229.1091741185005, 1, 0, 0;

1, 3, 15 minutes, $23.95, Drink AND Garlic Bread, 2160, null, 40000, 2041.1826260119776, 1, 0, 1;
1, 3, 30 minutes, $27.95, Drink OR Garlic Bread, 2160, null, 40000, 2041.1826260119776, 1, 0, 0;
1, 3, 45 minutes, $27.95, No sides, 2160, null, 40000, 2041.1826260119776, 1, 0, 0;

1, 4, 15 minutes, $19.95, Drink AND Garlic Bread, 1941, null, 40000, 2271.268548483763, 1, 0, 1;
1, 4, 30 minutes, $27.95, Drink AND Garlic Bread, 1941, null, 40000, 2271.268548483763, 1, 0, 0;
1, 4, 45 minutes, $27.95, Drink OR Garlic Bread, 1941, null, 40000, 2271.268548483763, 1, 0, 0;

1, 5, 30 minutes, $23.95, Drink OR Garlic Bread, 2330, null, 40000, 1829.864561144369, 2, 0, 0;
1, 5, 30 minutes, $27.95, Drink OR Garlic Bread, 2330, null, 40000, 1829.864561144369, 2, 0, 0;
