




txt=block, round, feature_0, feature_1, feature_2, rt, Error, MaxTrialTime, fixationTime, Condition, recommended, selected
0, 0, 45 minutes, $27.95, Drink OR Garlic Bread, 13572, null, 20000, 1735.0880260801732, 0, 0, 0;
0, 0, 45 minutes, $19.95, No sides, 13572, null, 20000, 1735.0880260801732, 0, 0, 0;
0, 0, 15 minutes, $19.95, No sides, 13572, null, 20000, 1735.0880260801732, 0, 0, 1;

0, 1, 30 minutes, $19.95, Drink OR Garlic Bread, 3352, null, 5000, 1326.183216726699, 0, 0, 1;
0, 1, 30 minutes, $23.95, Drink AND Garlic Bread, 3352, null, 5000, 1326.183216726699, 0, 0, 0;
0, 1, 15 minutes, $23.95, No sides, 3352, null, 5000, 1326.183216726699, 0, 0, 0;

0, 2, 15 minutes, $23.95, Drink AND Garlic Bread, 11523, null, 20000, 1064.6245011794256, 0, 0, 1;
0, 2, 30 minutes, $19.95, No sides, 11523, null, 20000, 1064.6245011794256, 0, 0, 0;
0, 2, 15 minutes, $19.95, No sides, 11523, null, 20000, 1064.6245011794256, 0, 0, 0;

0, 3, 15 minutes, $27.95, Drink OR Garlic Bread, 4618, null, 5000, 1059.7103585615407, 0, 0, 0;
0, 3, 15 minutes, $19.95, No sides, 4618, null, 5000, 1059.7103585615407, 0, 0, 0;
0, 3, 30 minutes, $23.95, Drink OR Garlic Bread, 4618, null, 5000, 1059.7103585615407, 0, 0, 1;

0, 4, 45 minutes, $23.95, Drink OR Garlic Bread, 4059, null, 10000, 2553.352257041356, 0, 0, 0;
0, 4, 45 minutes, $27.95, No sides, 4059, null, 10000, 2553.352257041356, 0, 0, 0;
0, 4, 15 minutes, $27.95, Drink AND Garlic Bread, 4059, null, 10000, 2553.352257041356, 0, 0, 1;

0, 5, 45 minutes, $23.95, Drink AND Garlic Bread, 7849, null, 10000, 1802.830616024851, 0, 0, 0;
0, 5, 15 minutes, $27.95, Drink OR Garlic Bread, 7849, null, 10000, 1802.830616024851, 0, 0, 0;
0, 5, 30 minutes, $23.95, Drink OR Garlic Bread, 7849, null, 10000, 1802.830616024851, 0, 0, 1;

